Name,Code,Free Slots,
African Continental Free Trade Area,572BI8,2,
Agbesi Dzakpasu (former Greater Accra Bar President),L7PUJ3,1,
Airtel/TiGO,AAYN9X,1,
America Chamber of Commerce,8OJL8Z,2,
American Embassy,EQR009,2,
American Towers,GNIA9A,1,
Attorney General,19HIOH,1,
BELA,S9NQNH,1,
Bank of Ghana (BoG),4W5JIZ,2,
British Petroleum,CRYYT7,1,
CITI FM,1YS67X,1,
CUTS,7LOSV9,2,
Center for Democratic Development (CDD),VEX9CV,2,
Chamber of Oil Marketing Companies,V8QR7G,1,
Deloitte,Z3U2V8,1,
Dr. Bamba & Associates,AU8B83,2,
Economics Department University of Ghana,WWTG45,1,
Ghana Interbank Payment and Settlement Systems Limited (GhIPSS),518V8J,2,
Ghana Investment Promotion Center (GIPC),Q3RB8Z,2,
Hellios Towers,EMIC0N,1,
Huawei,T9HE5C,1,
IMANI,TT9AV3,1,
IPSA Law Faculty,8LKP9U,2,
Institute of Economic Affairs (IEA),M6A3UV,1,
Joy FM,99YE9S,1,
Judiciary,LOHA1W,5,
KPMG,7WVOPD,1,
Kuenyehia & Nutsupkui,QJ5Q4G,1,
Law Trust,ZA1XFP,2,
MTN,N3I4QI,1,
Ministry of Communications and Digitalisation (MoCD),PNZKAD,2,
Nana Ama Dowuona,REM6A4,2,
National Communications Authority (NCA),9ZKEIO,2,
Parliament,ABSNXO,5,
Freddie Tests, FRED00, 10,
Presidency,67A88P,1,
Prof. Raymond Atuguba,RYHKTF,1,
Public Utilities Regulatory Commission (PURC),MCA685,2,
Telecel,BS0VEB,1,
Tony Forson (former Bar President),S4XZCA,1,
Tullow Oil,16J2D9,2,
United Kingdom-Ghana Chamber of Commerce (UKGCC),K26LDM,2,
University of Ghana Law Faculty,ECWYLU,2,
